list_time,area,area_name,price,price_string,rooms,property_legal_document,property_road_condition,property_back_condition,size,ward,ward_name,toilets,floors,house_type,furnishing_sell,longitude,latitude,street_id,width,projectid,price_m2
13 October 2021,81,Quận Long Biên,4690000000,"4,69 tỷ",8.0,1.0,0.0,1.0,67.0,99,Phường Ngọc Thụy,7.0,4.467237714043407,3.0,4.0,105.86634,21.05645,1282.0,4.0,0.0,70000000.0
19 November 2021,81,Quận Long Biên,2250000000,"2,25 tỷ",3.0,1.0,0.0,1.0,30.0,100,Phường Thạch Bàn,4.0,4.467237714043407,3.0,2.0,105.81381125871053,21.010090290259843,0.0,4.591384987893445,0.0,75000000.0
20 November 2021,75,Quận Đống Đa,5800000000,"5,8 tỷ",5.0,1.0,0.0,0.0,62.0,124,Phường Ô Chợ Dừa,3.0,3.161290322580645,3.0,2.0,105.82743,21.02546,363.0,3.0,0.0,93548387.09677419
05 November 2021,79,Quận Cầu Giấy,4300000000,"4,3 tỷ",3.0,1.0,1.0,0.0,62.0,145,Phường Nghĩa Đô,2.0,3.0,3.0,4.0,105.81031,21.06556,831.0,4.591384987893445,0.0,69354838.70967741
13 November 2021,86,Quận Hà Đông,1740000000,"1,74 tỷ",3.0,1.0,0.0,1.0,32.0,19,Phường Dương Nội,2.0,3.125,3.0,3.0,105.74743,20.97548,1937.0,4.0,0.0,54375000.0
22 November 2021,81,Quận Long Biên,2080000000,"2,08 tỷ",4.0,1.0,0.0,0.0,33.0,101,Phường Phúc Lợi,5.0,4.467237714043407,3.0,4.0,105.92365,21.04662,1415.0,4.591384987893445,0.0,63030303.03030303
22 November 2021,81,Quận Long Biên,2080000000,"2,08 tỷ",3.0,1.0,0.0,1.0,35.0,101,Phường Phúc Lợi,4.0,5.0,3.0,2.0,105.92365,21.04662,1415.0,4.0,0.0,59428571.428571425
24 September 2021,86,Quận Hà Đông,9300000000,"9,3 tỷ",5.0,1.0,0.0,0.0,114.0,19,Phường Dương Nội,4.0,4.0,4.0,3.0,105.74743,20.97548,1937.0,6.0,0.0,81578947.36842105
12 November 2021,86,Quận Hà Đông,2750000000,"2,75 tỷ",4.0,1.0,1.0,0.0,30.0,20,Phường La Khê,4.0,5.0,3.0,1.0,105.79621,20.98383,1824.0,5.0,0.0,91666666.66666667
14 November 2021,86,Quận Hà Đông,3289000000,"3,289 tỷ",4.0,1.0,1.0,1.0,38.0,21,Phường Vạn Phúc,3.0,4.0,3.0,2.0,105.85307,21.0159,0.0,7.0,0.0,86552631.57894737
